河南洛阳涧西区酒店源,#genre#
CCTV-01,http://182.122.229.114:8888/hls/1/index.m3u8
CCTV-02,http://182.122.229.114:8888/hls/2/index.m3u8
CCTV-03,http://182.122.229.114:8888/hls/3/index.m3u8
CCTV-04,http://182.122.229.114:8888/hls/4/index.m3u8
CCTV-05,http://182.122.229.114:8888/hls/5/index.m3u8
CCTV-06,http://182.122.229.114:8888/hls/6/index.m3u8
CCTV-07,http://182.122.229.114:8888/hls/7/index.m3u8
CCTV-08,http://182.122.229.114:8888/hls/8/index.m3u8
CCTV-09,http://182.122.229.114:8888/hls/9/index.m3u8
CCTV-10,http://182.122.229.114:8888/hls/10/index.m3u8
CCTV-11,http://182.122.229.114:8888/hls/11/index.m3u8
CCTV-12,http://182.122.229.114:8888/hls/12/index.m3u8
CCTV-13,http://182.122.229.114:8888/hls/13/index.m3u8
CCTV-14,http://182.122.229.114:8888/hls/14/index.m3u8
CCTV-15,http://182.122.229.114:8888/hls/15/index.m3u8
河南卫视,http://182.122.229.114:8888/hls/16/index.m3u8
湖南卫视,http://182.122.229.114:8888/hls/17/index.m3u8
江苏卫视,http://182.122.229.114:8888/hls/18/index.m3u8
浙江卫视,http://182.122.229.114:8888/hls/19/index.m3u8
北京卫视,http://182.122.229.114:8888/hls/20/index.m3u8
东方卫视,http://182.122.229.114:8888/hls/21/index.m3u8
天津卫视,http://182.122.229.114:8888/hls/22/index.m3u8
山东卫视,http://182.122.229.114:8888/hls/23/index.m3u8
安徽卫视,http://182.122.229.114:8888/hls/24/index.m3u8
深圳卫视,http://182.122.229.114:8888/hls/25/index.m3u8
江西卫视,http://182.122.229.114:8888/hls/26/index.m3u8
湖北卫视,http://182.122.229.114:8888/hls/27/index.m3u8
四川卫视,http://182.122.229.114:8888/hls/28/index.m3u8
黑龙江卫视,http://182.122.229.114:8888/hls/29/index.m3u8
云南卫视,http://182.122.229.114:8888/hls/30/index.m3u8
贵州卫视,http://182.122.229.114:8888/hls/31/index.m3u8
辽宁卫视,http://182.122.229.114:8888/hls/32/index.m3u8
